PMCID	PMID	Title	Journal	Publication_Date	Image_Number
PMC8774386	35052428	Understanding Transcriptomic and Serological Differences between Forced Molting and Natural Molting in Laying Hens	Genes	2021-12-29	1081
PMC8835244	35162780	Spatial and Temporal Analysis of Impacts of Hurricane Florence on Criteria Air Pollutants and Air Toxics in Eastern North Carolina	International Journal of Environmental Research and Public Health	2022-02-03	1082
PMC9458462	35979951	Disease-associated inosine misincorporation into RNA hinders translation	Nucleic Acids Research	2022-08-18	1083
PMC6901224	31815946	Extending the information content of the MALDI analysis of biological fluids via multi-million shot analysis	PLoS ONE	2019-12-09	1084
PMC6701419	31481974	Mesenchymal Stem Cell Therapy Facilitates Donor Lung Preservation by Reducing Oxidative Damage during Ischemia	Stem Cells International	2019-08-05	1085
PMC6092273	30148205	Inversion effects in the expert classification of mammograms and faces	Cognitive Research: Principles and Implications	2018-08-15	1086
PMC6457495	30969988	Ultra-rapid object categorization in real-world scenes with top-down manipulations	PLoS ONE	2019-04-10	1087
PMC6024031	29802020	Autoimmune Th17 Cells Induced Synovial Stromal and Innate Lymphoid Cell Secretion of the Cytokine GM-CSF to Initiate and Augment Autoimmune Arthritis	Immunity	2018-06-19	1088
PMC9528679	36171048	National priority setting partnership using a Delphi consensus process to develop neonatal research questions suitable for practice-changing randomised trials in the United Kingdom	BMJ Open	2022-09-28	1089
PMC7532965	33009959	Effect of increased serum 25(OH)D and calcium on structure and function of post-menopausal women: a pilot study	Archives of Osteoporosis	2020-10-03	1090
PMC7793405	33429750	The efficacy of bosentan combined with vardenafil in the treatment of postoperative pulmonary hypertension in children with congenital heart disease	Medicine	2021-01-08	1091
PMC9131001	35647535	Tuning of Elasticsearch Configuration: Parameter Optimization Through Simultaneous Perturbation Stochastic Approximation	Frontiers in Big Data	2022-05-11	1092
PMC5033992	27660282	Cross-talk between macrophages and atrial myocytes in atrial fibrillation	Basic Research in Cardiology	2016-09-22	1093
PMC3515605	23227199	Donor Hematopoietic Stem Cells Confer Long-Term Marrow Reconstitution by Self-Renewal Divisions Exceeding to That of Host Cells	PLoS ONE	2012-12-05	1094
PMC9216598	35755919	Longitudinal tracking of human plasma oxytocin suggests complex responses to moral elevation	Comprehensive Psychoneuroendocrinology	2021-12-22	1095
PMC3591144	23509691	Comparison of International Normalized Ratio Measurement between CoaguChek XS Plus and STA-R Coagulation Analyzers	BioMed Research International	2013-12-24	1096
PMC3472927	23077402	Identification of  mutations in 11 of 49 families with familial exudative vitreoretinopathy	Molecular Vision	2012-10-04	1097
PMC5564521	28657901	Increased intraepithelial CD3+ T-lymphocytes and high PD-L1 expression on tumor cells are associated with a favorable prognosis in esophageal squamous cell carcinoma and allow prognostic immunogenic subgrouping	Oncotarget	2017-06-22	1098
PMC4318131	25623424	Re-annotation of the woodland strawberry () genome	BMC Genomics	2015-01-27	1099
PMC6516676	31086407	Inflammatory response of mesenchymal stromal cells after  exposure with selected trauma-related factors and polytrauma serum	PLoS ONE	2019-05-14	1100
PMC9139880	35626332	Perceived Stress in Hepatitis C Virus Infected Patients under the DAA-Based Therapy	Diagnostics	2022-05-09	1101
PMC5127125	27845716	Development and Validation of a LC-ESI-MS/MS Method for the Determination of  Toxins Alternariol, Alternariol Methyl-Ether and Tentoxin in Tomato and Tomato-Based Products	Toxins	2016-11-11	1102
PMC7519907	32980857	Endothelin 1-induced retinal ganglion cell death is largely mediated by JUN activation	Cell Death &#x00026; Disease	2020-09-26	1103
PMC5938536	29743863	Metabolic fingerprinting of joint tissue of collagen-induced arthritis (CIA) rat: In vitro, high resolution NMR (nuclear magnetic resonance) spectroscopy based analysis	EXCLI Journal	2018-03-19	1104
PMC6651887	31261985	The Influence of Steel Fiber Tensile Strengths and Aspect Ratios on the Fracture Properties of High-Strength Concrete	Materials	2019-06-30	1105
PMC6802179	31630687	Midlife physical activity is associated with lower incidence of vascular dementia but not Alzheimer&#x02019;s disease	Alzheimer's Research &#x00026; Therapy	2019-10-20	1106
PMC8878666	35207529	Preliminary In Vitro Cytotoxicity, Mutagenicity and Antitumoral Activity Evaluation of Graphene Flake and Aqueous Graphene Paste	Life	2022-02-07	1107
PMC8577368	34845440	Probing Affinity, Avidity, Anticooperativity, and Competition in Antibody and Receptor Binding to the SARS-CoV-2 Spike by Single Particle Mass Analyses	ACS Central Science	2021-11-24	1108
PMC5376589	28421053	Elevated Air Humidity Changes Soil Bacterial Community Structure in the Silver Birch Stand	Frontiers in Microbiology	2017-04-03	1109
PMC9565682	36231162	Drinking Expectancies among Chinese Young Adults: A Qualitative Study from Hong Kong	International Journal of Environmental Research and Public Health	2022-09-20	1110
PMC6779678	31632475	Cross-Sectoral Big Data	Asian Bioethics Review	2019-10-01	1111
PMC9607412	36287801	Computed Tomographic Imaging Features of COVID-19 Pneumonia Caused by the Delta (B.1.617.2) and Omicron (B.1.1.529) Variant in a German Nested Cohort Pilot Study Group	Tomography	2022-09-28	1112
PMC5100253	27821095	Treatment of a chemoresistant neuroblastoma cell line with the antimalarial ozonide OZ513	BMC Cancer	2016-11-08	1113
PMC6554478	31213968	Sparse Sampling of Silence Type I Errors With an Emphasis on Primary Auditory Cortex	Frontiers in Neuroscience	2019-05-31	1114
PMC9629948	36340969	Evaluation of Behavior of 13X Zeolite Modified with Transition Metals for Catalytic Applications	Bioinorganic Chemistry and Applications	2022-10-26	1115
PMC7586084	32940648	Graded, multidimensional intra- and intergroup variations in primary progressive aphasia and post-stroke aphasia	Brain	2020-09-17	1116
PMC6514810	31013647	Looseness Monitoring of Bolted Spherical Joint Connection Using Electro-Mechanical Impedance Technique and BP Neural Networks	Sensors (Basel, Switzerland)	2019-04-22	1117
PMC3394022	22798887	1-(2,2-Diphenyl&#x000ad;eth&#x000ad;yl)-1-tetra&#x000ad;zole	Acta Crystallographica Section E: Structure Reports Online	2012-06-27	1118
PMC3846913	24007462	Hybrid debranching and TEVAR of the aortic arch off-pump, in re-do patients with complicated chronic type-A aortic dissections: a critical report	Journal of Cardiothoracic Surgery	2013-09-04	1119
PMC7190104	32348324	An experimental assessment of algal calcification as a potential source of atmospheric CO	PLoS ONE	2020-04-29	1120
PMC5314353	28211483	Colonisation in social species: the importance of breeding experience for dispersal in overcoming information barriers	Scientific Reports	2017-02-17	1121
PMC8628452	34839828	Exploring the associations between transcript levels and fluxes in constraint-based models of metabolism	BMC Bioinformatics	2021-11-29	1122
PMC9203542	35710767	Circulating miR-141 as a potential biomarker for diagnosis, prognosis and therapeutic targets in gallbladder cancer	Scientific Reports	2022-06-16	1123
PMC4263897	25342747	Dramatic Potentiation of the Antiviral Activity of HIV Antibodies by Cholesterol Conjugation	The Journal of Biological Chemistry	2014-12-12	1124
PMC6027514	29783754	Silicon Influences Soil Availability and Accumulation of Mineral Nutrients in Various Plant Species	Plants	2018-05-19	1125
PMC4796866	26987775	Human Umbilical Vein Endothelial Cells foster conversion of CD4 Regulatory T Cells via Transforming Growth Factor-&#x003b2;	Scientific Reports	2016-03-18	1126
PMC6612754	31320967	Trends and determinants of Emergency Room admissions for asthma: A retrospective evaluation in Northeast Italy	The World Allergy Organization Journal	2019-07-03	1127
PMC9473544	36133801	Ternary host-guest complexes with rapid exchange kinetics and photoswitchable fluorescence	Chem	2022-09-08	1128
PMC4504119	26179401	Pest control and resistance management through release of insects carrying a male-selecting transgene	BMC Biology	2015-07-16	1129
PMC6390672	30726493	Fetal mortality and the challenges for women's health care in Brazil	Revista de Sa&#x000fa;de P&#x000fa;blica	2019-01-18	1130
PMC7805168	33436068	Childhood DNA methylation as a marker of early life rapid weight gain and subsequent overweight	Clinical Epigenetics	2021-01-12	1131
PMC3426807	23320920	Accuracy of RNA-Seq and its dependence on sequencing depth	BMC Bioinformatics	2012-08-24	1132
PMC7609730	32462407	Finding Suitable Clinical Endpoints for a Potential Treatment of a Rare Genetic Disease: the Case of ARID1B	Neurotherapeutics	2020-07-22	1133
PMC8334628	34395700	Trends in epidemiology: the role of denominator fluctuation in population based estimates	AIMS Public Health	2021-07-08	1134
PMC6558105	31214605	Seroprevalence and Current Infections of Canine Vector-Borne Diseases in Costa Rica	Frontiers in Veterinary Science	2019-06-04	1135
PMC10522163	27901178	Hypoparathyroidism and pseudohypoparathyroidism: etiology, laboratory features and complications	Archives of Endocrinology and Metabolism	2016-11-07	1136
PMC5460176	28649637	The adaptation of  cells grown in simulated microgravity for an extended period is both phenotypic and genomic	NPJ Microgravity	2017-05-23	1137
PMC7729032	33171067	Interaction interface in the C-terminal parts of centriole proteins Sas6 and Ana2	Open Biology	2020-11-11	1138
PMC8615167	34827362	A Systematic Study of the Antibacterial Activity of Basidiomycota Crude Extracts	Antibiotics	2021-11-21	1139
PMC8647512	34872525	COVID-19 vaccine hesitancy in people with migratory backgrounds: a cross-sectional study among Turkish- and German-speaking citizens in Munich	BMC Infectious Diseases	2021-12-06	1140
PMC8567441	34761235	How to extract and analyze pollen from internal organs and exoskeletons of fossil insects?	STAR Protocols	2021-10-29	1141
PMC6365576	30728405	Differential expression of CXCR3 and CCR6 on CD4 T-lymphocytes with distinct memory phenotypes characterizes tuberculosis-associated immune reconstitution inflammatory syndrome	Scientific Reports	2019-02-06	1142
PMC9130299	35610333	Clinical measures, radiomics, and genomics offer synergistic value in AI-based prediction of overall survival in patients with glioblastoma	Scientific Reports	2022-05-24	1143
PMC9063407	35516805	Altered Temporal Variations of Functional Connectivity Associated With Surgical Outcomes in Drug-Resistant Temporal Lobe Epilepsy	Frontiers in Neuroscience	2022-04-19	1144
PMC8708559	34957098	Membrane Remodeling and Matrix Dispersal Intermediates During Mammalian Acrosomal Exocytosis	Frontiers in Cell and Developmental Biology	2021-12-10	1145
PMC8839637	35160577	Polysaccharides Used in Biosorbents Preparation for Organic Dyes Retaining from Aqueous Media	Polymers	2022-01-31	1146
PMC6325395	30056655	Analysis of the oxidized low density lipoprotein receptor 1 gene as a potential marker for carcass quality traits in Qinchuan cattle	Asian-Australasian Journal of Animal Sciences	2019-01-26	1147
PMC5410156	28462051	Territorial black-capped chickadee males respond faster to high- than to low-frequency songs in experimentally elevated noise conditions	PeerJ	2017-04-27	1148
PMC8596177	34909180	Influence of surface peripheral electrical stimulation on nerve regeneration after digital nerve neurorrhaphy: study protocol for a randomized clinical trial	F1000Research	2021-12-06	1149
PMC9613442	36311015	WNK3 kinase maintains neuronal excitability by reducing inwardly rectifying K conductance in layer V pyramidal neurons of mouse medial prefrontal cortex	Frontiers in Molecular Neuroscience	2022-10-13	1150
PMC7816465	33468227	Pain chronification and the important role of non-disease-specific symptoms in patients with systemic sclerosis	Arthritis Research &#x00026; Therapy	2021-01-19	1151
PMC6208996	29767387	No Medication for My Child! A Naturalistic Study on the Treatment Preferences for and Effects of Cogmed Working Memory Training Versus Psychostimulant Medication in Clinically Referred Youth with ADHD	Child Psychiatry and Human Development	2018-05-16	1152
PMC4736290	26832365	Fish oil alleviated high-fat diet&#x02013;induced non-alcoholic fatty liver disease via regulating hepatic lipids metabolism and metaflammation: a transcriptomic study	Lipids in Health and Disease	2016-02-01	1153
PMC3796497	24155958	Erythropoietin Receptor Expression Is a Potential Prognostic Factor in Human Lung Adenocarcinoma	PLoS ONE	2013-10-14	1154
PMC9424208	36038626	Adenosine A receptors control synaptic remodeling in the adult brain	Scientific Reports	2022-08-29	1155
PMC9657403	36364634	Direct Bactericidal Comparison of Metal Nanoparticles and Their Salts against  Culture by TEM and FT-IR Spectroscopy	Nanomaterials	2022-11-01	1156
PMC4331401	25690530	Active and latent tuberculosis among HIV-positive injecting drug users in Indonesia	Journal of the International AIDS Society	2015-02-16	1157
PMC6753616	31548867	Effective editing for lysophosphatidic acid acyltransferase 2/5 in allotetraploid rapeseed ( L.) using CRISPR-Cas9 system	Biotechnology for Biofuels	2019-09-20	1158
PMC7601220	33019780	Changes in the Activity and Concentration of Superoxide Dismutase Isoenzymes (Cu/Zn SOD, MnSOD) in the Blood of Healthy Subjects and Patients with Acute Pancreatitis	Antioxidants	2020-10-01	1159
PMC8060266	33883577	ALKBH4 promotes tumourigenesis with a poor prognosis in non-small-cell lung cancer	Scientific Reports	2021-04-21	1160
PMC7971898	33684099	Force variability is mostly not motor noise: Theoretical implications for motor control	PLoS Computational Biology	2021-03-08	1161
PMC9282649	35834582	Annual HIV screening rates for HIV-negative men who have sex with men in primary care	PLoS ONE	2022-07-14	1162
PMC5634419	28993641	Revealing hidden complexities of genomic rearrangements generated with Cas9	Scientific Reports	2017-10-09	1163
PMC6385421	30791929	Evaluation of the effectiveness of hip and knee implant models used in Catalonia: a protocol for a prospective registry-based study	Journal of Orthopaedic Surgery and Research	2019-02-21	1164
PMC8023235	33859877	Comparison of metastatic castration-resistant prostate cancer in bone with other sites: clinical characteristics, molecular features and immune status	PeerJ	2021-03-31	1165
PMC3962459	24658073	Recipient-Related Clinical Risk Factors for Primary Graft Dysfunction after Lung Transplantation: A Systematic Review and Meta-Analysis	PLoS ONE	2014-03-21	1166
PMC3750426	23914936	Enhancing performance of a miniaturized surface plasmon resonance sensor in the reflectance detection mode using a waveguide-coupled bimetallic chip	Nanoscale Research Letters	2013-08-06	1167
PMC6650909	31269686	Broadband Linear High-Power Amplifier Based on the Parallel Amplification Architecture for Electromagnetic Ultrasonic Guided Wave	Sensors (Basel, Switzerland)	2019-07-02	1168
PMC7005775	32034152	De novo strategy with engineering anti-Kasha/Kasha fluorophores enables reliable ratiometric quantification of biomolecules	Nature Communications	2020-02-07	1169
PMC9596416	36284084	The SUMO protease SENP1 promotes aggressive behaviors of high HIF2&#x003b1; expressing renal cell carcinoma cells	Oncogenesis	2022-10-25	1170
PMC6863470	31777652	The risk-takers and -avoiders: germination sensitivity to water stress in an arid zone with unpredictable rainfall	AoB Plants	2019-10-10	1171
PMC4599302	26057469	Evaluation on efficacy and safety of tyrosine kinase inhibitors plus radiotherapy in NSCLC patients with brain metastases	Oncotarget	2015-05-25	1172
PMC7403631	32850669	High Triplet Energy Host Materials for Blue TADF OLEDs&#x02014;A Tool Box Approach	Frontiers in Chemistry	2020-07-29	1173
PMC7971881	33684106	BARcode DEmixing through Non-negative Spatial Regression (BarDensr)	PLoS Computational Biology	2021-03-08	1174
PMC7283407	32319046	When will I&#x000a0;get my paper back? A&#x000a0;replication study of publication timelines for health professions education research	Perspectives on Medical Education	2020-06-21	1175
PMC7560102	32961738	Selection of Cryoprotectant in Lyophilization of Progesterone-Loaded Stearic Acid Solid Lipid Nanoparticles	Pharmaceutics	2020-09-19	1176
PMC8391912	34439133	Context-Specific Efficacy of Apalutamide Therapy in Preclinical Models of -Deficient Prostate Cancer	Cancers	2021-08-06	1177
PMC4610588	26393608	Energy Efficient Medium Access Control Protocol for Clustered Wireless Sensor Networks with Adaptive Cross-Layer Scheduling	Sensors (Basel, Switzerland)	2015-09-18	1178
PMC7372439	32640695	Carbonyl-Terminated Quinoidal Oligothiophenes as p-Type Organic Semiconductors	Materials	2020-07-06	1179
PMC4392630	25866625	Burden of frailty in the elderly population: perspectives for a public health challenge	Archives of Public Health	2015-04-10	1180
PMC8088718	33933081	Characterization and distribution of medicine vendors in 2 states in Nigeria: implications for scaling health workforce and family planning services	Human Resources for Health	2021-05-01	1181
PMC3962461	24658503	Diagnostic Yield of the Light Blue Crest Sign in Gastric Intestinal Metaplasia: A Meta-Analysis	PLoS ONE	2014-03-21	1182
PMC4709789	26839569	Endothelial Progenitor Cells for Diagnosis and Prognosis in Cardiovascular Disease	Stem Cells International	2016-12-29	1183
PMC4451983	26090502	The Emerging Functions of Long Noncoding RNA in Immune Cells: Autoimmune Diseases	Journal of Immunology Research	2015-05-18	1184
PMC6680702	31373325	Skeletal Muscle Fiber Adaptations Following Resistance Training Using Repetition Maximums or Relative Intensity	Sports	2019-07-11	1185
PMC3570204	23408765	Iodine increases and predicts incidence of thyroiditis in NOD mice: Histopathological and ultrastructural study	Experimental and Therapeutic Medicine	2013-02-22	1186
PMC5833335	29492696	The 2014 updated version of the Confusion Assessment Method for the Intensive Care Unit compared to the 5th version of the Diagnostic and Statistical Manual of Mental Disorders and other current methods used by intensivists	Annals of Intensive Care	2018-03-01	1187
PMC9273391	35832334	Attractive Sugar Bait Formulation for Development of Attractive Toxic Sugar Bait for Control of  (Linnaeus)	Journal of Tropical Medicine	2022-06-18	1188
PMC5666370	29027956	Combined Venom Gland Transcriptomic and Venom Peptidomic Analysis of the Predatory Ant	Toxins	2017-10-13	1189
PMC9248084	35773639	Comparison of mini endoscopic combined intrarenal surgery and multitract minimally invasive&#x000a0;percutaneous nephrolithotomy specifically for kidney staghorn stones: a single-centre experience	BMC Urology	2022-06-30	1190
PMC4438667	25992485	The Role of Cyclooxygenase-2, Interleukin-1&#x003b2; and Fibroblast Growth Factor2 in the Activation of Matrix Metalloproteinase-1 in Sheared-Chondrocytes and Articular Cartilage	Scientific Reports	2015-05-20	1191
PMC7153249	32183252	Electrospun Nanofibers: from Food to Energy by Engineered Electrodes in Microbial Fuel Cells	Nanomaterials	2020-03-14	1192
PMC5654999	29066835	Cellular hormetic response to 27-hydroxycholesterol promotes neuroprotection through AICD induction of MAST4 abundance and kinase activity	Scientific Reports	2017-10-24	1193
PMC3814077	24282431	Physical Demand Profiles of Hatha Yoga Postures Performed by Older Adults	Evidence-based Complementary and Alternative Medicine : eCAM	2013-10-03	1194
PMC9786926	36557485	An Investigation on the Efficacy of Orotic Acid as a Bio-Nucleating Agent for Poly-Lactic Acid under Quiescent Condition and Injection Molding	Micromachines	2022-12-10	1195
PMC5522223	28489580	Rapamycin regulates macrophage activation by inhibiting NLRP3 inflammasome-p38 MAPK-NF&#x003ba;B pathways in autophagy- and p62-dependent manners	Oncotarget	2017-04-19	1196
PMC9822759	36618967	Prediction of Survival and Tumor Microenvironment Infiltration Based on Pyroptosis-Related lncRNAs in Pancreatic Cancer	Disease Markers	2022-12-30	1197
PMC6588907	31285834	Early Minds: a pilot randomised controlled trial of a mindfulness program in early learning centres	Pilot and Feasibility Studies	2019-06-22	1198
PMC3603713	23533492	Gastrodin Protects Apoptotic Dopaminergic Neurons in a Toxin-Induced Parkinson's Disease Model	Evidence-based Complementary and Alternative Medicine : eCAM	2013-03-03	1199
PMC4415239	25907099	In vitro simulation research on the hoop stress of myocardial bridge - coronary artery	Journal of Cardiothoracic Surgery	2015-04-25	1200
PMC8551424	33840277	Mechanical thrombectomy in acute ischaemic stroke patients with pre-interventional intracranial haemorrhage following intravenous thrombolysis	The Neuroradiology Journal	2021-10-12	1201
PMC6014204	29946486	The making of evidence-informed health policy in Cambodia: knowledge, institutions and processes	BMJ Global Health	2018-06-22	1202
PMC6912530	31731738	The Envelope Residues E152/156/158 of Zika Virus Influence the Early Stages of Virus Infection in Human Cells	Cells	2019-11-15	1203
PMC4213503	25326272	A genome wide association scan for (1,3;1,4)-&#x003b2;-glucan content in the grain of contemporary 2-row Spring and Winter barleys	BMC Genomics	2014-10-17	1204
PMC4928969	27386558	Global warming without global mean precipitation increase?	Science Advances	2016-06-24	1205
PMC7585421	33097774	La Palma island (Spain) geothermal system revealed by 3D magnetotelluric data inversion	Scientific Reports	2020-10-23	1206
PMC5467611	28362070	Awareness and perceived fairness of option B+ in Malawi: a population-level perspective	Journal of the International AIDS Society	2017-03-08	1207
PMC4320465	25645120	Impact of elevated maternal HIV viral load at delivery on T-cell populations in HIV exposed uninfected infants in Mozambique	BMC Infectious Diseases	2015-02-03	1208
PMC3914318	24550989	Acinar Cell Carcinoma of the Pancreas with Colon Involvement	Case Reports in Medicine	2014-01-16	1209
PMC7834946	33427677	Pupillary Responses for Cognitive Load Measurement to Classify Difficulty Levels in an Educational Video Game: Empirical Study	JMIR Serious Games	2021-01-11	1210
PMC3551902	23349986	Cryopreservation in Trehalose Preserves Functional Capacity of Murine Spermatogonial Stem Cells	PLoS ONE	2013-01-22	1211
PMC9381188	35983523	Application of CT Postprocessing Reconstruction Technique in Differential Diagnosis of Benign and Malignant Solitary Pulmonary Nodules and Analysis of Risk Factors	Computational and Mathematical Methods in Medicine	2022-08-09	1212
PMC8460584	34386882	The other-race effect on the McGurk effect in infancy	Attention, Perception &#x00026; Psychophysics	2021-08-13	1213
PMC6800872	31338567	Networks of random trees as a model of neuronal connectivity	Journal of Mathematical Biology	2019-07-24	1214
PMC3265484	22291960	Single Collateral Reconstructions Reveal Distinct Phases of Corticospinal Remodeling after Spinal Cord Injury	PLoS ONE	2012-01-24	1215
PMC6541597	31142826	Development and evaluation of a deep learning approach for modeling seasonality and trends in hand-foot-mouth disease incidence in mainland China	Scientific Reports	2019-05-29	1216
PMC9788451	36558017	Antifungal Effect and Inhibition of the Virulence Mechanism of D-Limonene against	Molecules	2022-12-14	1217
PMC6323752	30616663	Fixed muscle synergies and their potential to improve the intuitive control of myoelectric assistive technology for upper extremities	Journal of NeuroEngineering and Rehabilitation	2019-01-07	1218
PMC6941895	31911839	Rituximab utilization for approved and off&#x02010;label nononcology indications and patients&#x02019; experiences with the Patient Alert Card	Pharmacology Research &#x00026; Perspectives	2020-01-03	1219
PMC6848186	31712652	Genetic risk scores for major psychiatric disorders and the risk of postpartum psychiatric disorders	Translational Psychiatry	2019-11-11	1220
PMC5843989	29174084	Cost-effectiveness of public-health policy options in the presence of pretreatment NNRTI drug resistance in sub-Saharan Africa: a modelling study	The Lancet. HIV	2017-11-22	1221
PMC5122171	27881078	No rationale for 1 variable per 10 events criterion for binary logistic regression analysis	BMC Medical Research Methodology	2016-11-24	1222
PMC8373038	34414398	An Insight into Aging, Senescence, and Their Impacts on Wound Healing	Advances in geriatric medicine and research	2021-07-21	1223
PMC7050259	31571428	Impact of PDGF&#x02010;BB on cellular distribution and extracellular matrix in the healing rabbit Achilles tendon three weeks post&#x02010;operation	FEBS Open Bio	2020-02-05	1224
PMC4466677	25762629	Extension of the  half-life of endostatin and its improved anti-tumor activities upon fusion to a humanized antibody against tumor-associated glycoprotein 72 in a mouse model of human colorectal carcinoma	Oncotarget	2015-01-22	1225
PMC7525023	33042924	Profiling  Mutations in Mexican Acute Myeloid Leukemia Pediatric Patients: Impact on Overall Survival	Frontiers in Pediatrics	2020-09-16	1226
PMC3904456	24387239	Re-irradiation in the treatment of patients with cerebral metastases of solid tumors: retrospective analysis	Radiation Oncology (London, England)	2014-01-03	1227
PMC8619054	34834665	Effect of Various Mulch Materials on Chemical Properties of Soil, Leaves and Shoot Characteristics in  Munro Forests	Plants	2021-10-26	1228
PMC6155410	28241497	Is Gamma Radiation Suitable to Preserve Phenolic Compounds and to Decontaminate Mycotoxins in Aromatic Plants? A Case-Study with  Pal&#x000e1;u	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	2017-02-23	1229
PMC9743092	36442155	Membrane-Active Cyclic Amphiphilic Peptides: Broad-Spectrum Antibacterial Activity Alone and in Combination with Antibiotics	Journal of Medicinal Chemistry	2022-12-08	1230
PMC8236858	34194406	Synergistic Application of Molecular Markers and Community-Based Microbial Source Tracking Methods for Identification of Fecal Pollution in River Water During Dry and Wet Seasons	Frontiers in Microbiology	2021-06-14	1231
PMC6452502	30997099	Utility of transoral pharyngeal ultrasonography for puncture drainage of peritonsillar abscess	Clinical Case Reports	2019-02-19	1232
PMC7881190	33580139	Robotic pancreaticoduodenectomy provides better histopathological outcomes as compared to its open counterpart: a meta-analysis	Scientific Reports	2021-02-12	1233
PMC6761266	31554883	Inhibition of the right dlPFC by theta burst stimulation does not alter sustainable decision-making	Scientific Reports	2019-09-25	1234
PMC6567910	31196168	LncRNA papillary thyroid carcinoma susceptibility candidate 3 (PTCSC3) regulates the proliferation of human periodontal ligament stem cells and toll-like receptor 4 (TLR4) expression to improve periodontitis	BMC Oral Health	2019-06-13	1235
PMC4947508	27446232	Perfusion Angiography in Acute Ischemic Stroke	Computational and Mathematical Methods in Medicine	2016-07-03	1236
PMC4511080	26198406	Generation of lentivirus-induced dendritic cells under GMP-compliant conditions for adaptive immune reconstitution against cytomegalovirus after stem cell transplantation	Journal of Translational Medicine	2015-07-22	1237
PMC6572863	31201338	Functional roles of hnRNPA2/B1 regulated by METTL3 in mammalian embryonic development	Scientific Reports	2019-06-14	1238
PMC8313329	34335833	Water-Soluble Total Flavonoids Isolated from  (Benth.) H. Hara Promote Hepatocellular Carcinoma Sensitivity to 5-Fluorouracil	Evidence-based Complementary and Alternative Medicine : eCAM	2021-07-17	1239
PMC8909641	35281306	Confirmation of the Need for Reclassification of  Strain	Frontiers in Microbiology	2022-02-21	1240
PMC9505829	36145245	Intake of Vitamin B12 and Folate and Biomarkers of Nutrient Status of Women within Two Years Postpartum	Nutrients	2022-09-19	1241
PMC4453438	26040633	Research protocol for a randomized controlled trial of the health effects of volunteering for seniors	Health and Quality of Life Outcomes	2015-06-04	1242
PMC8184803	34099848	Functional in vivo characterization of  enhancers in neural crest and melanoma development	Communications Biology	2021-06-07	1243
PMC8341512	34352012	Primary care-based screening and management of depression amongst heavy drinking patients: Interim secondary outcomes of a three-country quasi-experimental study in Latin America	PLoS ONE	2021-08-05	1244
PMC3970349	24707420	Unusual Synchronous Lung Tumors: Mucoepidermoid Carcinoma and Mucinous Adenocarcinoma	Case Reports in Oncological Medicine	2014-02-18	1245
PMC8263055	33559681	An ancestral 10-bp repeat expansion in  causes recessive hereditary motor neuropathy	Brain	2021-01-18	1246
PMC4709691	26839538	Cholecystostomy as Bridge to Surgery and as Definitive Treatment or Acute Cholecystectomy in Patients with Acute Cholecystitis	Gastroenterology Research and Practice	2016-12-29	1247
PMC7647117	33075075	PyHIST: A Histological Image Segmentation Tool	PLoS Computational Biology	2020-10-19	1248
PMC9533142	36211676	Development and validation of chest CT-based imaging biomarkers for early stage COVID-19 screening	Frontiers in Public Health	2022-09-21	1249
PMC5701263	29176661	Stable Hydrothermal Waves at Steady State Evaporating Droplet Surface	Scientific Reports	2017-11-24	1250
PMC6071370	30071872	Progression of cardiovascular autonomic neuropathy and cardiovascular disease in type 2 diabetes	Cardiovascular Diabetology	2018-08-02	1251
PMC6334465	30651073	Helpful ways providers can communicate about persistent medically unexplained physical symptoms	BMC Family Practice	2019-01-16	1252
PMC3944739	24599352	Identification of Salivary Gland Proteins Depleted after Blood Feeding in the Malaria Vector -like Mosquitoes (Diptera: Culicidae)	PLoS ONE	2014-03-05	1253
PMC6173937	30290832	Long-term exposure to road traffic noise and incidence of breast cancer: a cohort study	Breast Cancer Research : BCR	2018-10-05	1254
PMC7465924	32707792	SNP Markers and Evaluation of Duplicate Holdings of  in Two European Genebanks	Plants	2020-07-22	1255
PMC5241977	28100224	Radical Scavenging Activities of -intoxicated mice	BMC Complementary and Alternative Medicine	2017-01-18	1256
PMC7767849	33381030	How the Toxin got its Toxicity	Frontiers in Pharmacology	2020-12-14	1257
PMC9195298	35711665	A Search for Novel&#x000a0;&#x000a0;Effector Proteins Reveals a Strain Specific Nucleotropic Effector	Frontiers in Cellular and Infection Microbiology	2022-05-31	1258
PMC6543930	31178787	Emotional Influences on Cognitive Flexibility Depend on Individual Differences: A Combined Micro-Phenomenological and Psychophysiological Study	Frontiers in Psychology	2019-05-24	1259
PMC4433635	26064891	Experimentally Induced Mammalian Models of Glaucoma	BioMed Research International	2015-05-03	1260
PMC8002850	33803569	Determination of Carbohydrate Composition in Mealworm ( L.) Larvae and Characterization of Mealworm Chitin and Chitosan	Foods	2021-03-18	1261
PMC8476641	34580404	Shoulder transcutaneous electric nerve stimulation decreases heart rate via potentiating vagal tone	Scientific Reports	2021-09-27	1262
PMC7916485	33578770	Sex Difference in the Association between Electronic Cigarette Use and Subsequent Cigarette Smoking among U.S. Adolescents: Findings from the PATH Study Waves 1&#x02013;4	International Journal of Environmental Research and Public Health	2021-02-10	1263
PMC6208824	29948366	Graviperception in maize plants: is amyloplast sedimentation a red herring?	Protoplasma	2018-06-11	1264
