Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
900	PMC9469559	36096732	A nationwide cohort study suggests clarithromycin-based therapy for eradication is safe in patients with stable coronary heart disease and subsequent peptic ulcer disease	BMC Gastroenterology	9/12/2022	FALSE				Gray-scale	
901	PMC4818547	26823334	Implementation of a Systematic Accountability Framework in 2014 to Improve the Performance of the Nigerian Polio Program	The Journal of Infectious Diseases	5/1/2016	TRUE	Y	N	N	Definitely okay	
902	PMC9416286	36013482	Utility of PIVKA-II and AFP in Differentiating Hepatocellular Carcinoma from Non-Malignant High-Risk Patients	Medicina	7/28/2022	FALSE				Definitely okay	
903	PMC8141215	34022826	Adherence and characteristics of participants enrolled in a standardised programme of patient education and exercises for low back pain, GLA:D&#x000ae; Back &#x02013; a prospective observational study	BMC Musculoskeletal Disorders	5/22/2021	FALSE				Definitely okay	
904	PMC7183729	32335739	Understanding the relationship between slicing and measured fill density in material extrusion 3D printing towards precision porosity constructs for biomedical and pharmaceutical applications	3D Printing in Medicine	4/25/2020	FALSE				Definitely okay	
905	PMC4396448	25926770	Local mechanisms for loud sound-enhanced aminoglycoside entry into outer hair cells	Frontiers in Cellular Neuroscience	4/14/2015	FALSE				Definitely okay	
906	PMC8631680	34784389	Eosinophils mediate SIgA production triggered by TLR2 and TLR4 to control infection in mice	PLoS Pathogens	11/16/2021	FALSE				Definitely okay	
907	PMC5704366	29179726	Modulation of the functional association between the HIV-1 intasome and the nucleosome by histone amino-terminal tails	Retrovirology	11/28/2017	FALSE				Gray-scale	
908	PMC4383428	25874153	Intramyocardial Dissection following Postinfarction Ventricular Wall Rupture Contained by Surrounding Postoperative Adhesions	Case Reports in Surgery	3/19/2015	TRUE	Y	N	Y	Definitely okay	
909	PMC9977374	36875785	Effective transport network driven by tortuosity gradient enables high-electrochem-active solid-state batteries	National Science Review	11/28/2022	TRUE	N	N	N	Definitely problematic	
910	PMC9604984	36240239	Modulation of signaling cross-talk between pJNK and pAKT generates optimal apoptotic response	PLOS Computational Biology	10/14/2022	FALSE				Gray-scale	
911	PMC6033995	30008712	Strain-Specific Contribution of Eukaryotic Elongation Factor 1 Gamma to the Translation of Influenza A Virus Proteins	Frontiers in Microbiology	6/29/2018	FALSE				Definitely okay	
912	PMC6797606	31681355	Physical and Functional Constraints on Viable Belowground Acquisition Strategies	Frontiers in Plant Science	10/11/2019	FALSE				Definitely okay	
913	PMC4897562	27355078	Incidence of Radix Entomolaris in Mandibular First Molars in Palestinian Population: A Clinical Investigation	International Scholarly Research Notices	11/24/2014	FALSE				Gray-scale	
914	PMC9348696	35937502	Glypican-3 (GPC3) is associated with MCPyV-negative status and impaired outcome in Merkel cell carcinoma	Oncotarget	8/3/2022	FALSE				Definitely okay	
915	PMC4192358	25299318	Contribution of Corneal Neovascularization to Dendritic Cell Migration into the Central Area during Human Corneal Infection	PLoS ONE	10/9/2014	FALSE				Definitely okay	
916	PMC7402783	32756087	Prognostic value of preoperative lymphocyte-to-monocyte ratio in gallbladder carcinoma patients and the establishment of a prognostic nomogram	Medicine	7/31/2020	FALSE				Gray-scale	
917	PMC3937825	24564979	Mapping of the complement C9 binding domain on paramyosin	Parasites &#x00026; Vectors	2/24/2014	TRUE	Y	N	Y	Definitely okay	
918	PMC6814820	31653897	Computational Analysis of Insulin-Glucagon Signalling Network: Implications of Bistability to Metabolic Homeostasis and Disease states	Scientific Reports	10/25/2019	TRUE	Y	Y	Y	Definitely okay	
919	PMC4055222	24967390	Lithium Enhances Axonal Regeneration in Peripheral Nerve by Inhibiting Glycogen Synthase Kinase 3 Activation	BioMed Research International	5/20/2014	FALSE				Definitely okay	
920	PMC7770681	34138117	Intercalating Ultrathin MoO Nanobelts into MXene Film with Ultrahigh Volumetric Capacitance and Excellent Deformation for High-Energy-Density Devices	Nano-Micro Letters	5/22/2020	TRUE	Y	N	Y	Definitely okay	
921	PMC5338793	28264040	The effect of bone morphogenetic protein-2 on osteosarcoma metastasis	PLoS ONE	3/6/2017	FALSE				Definitely okay	
922	PMC6746771	31527737	Preparation of Mesoporous Silica by Nonionic Surfactant Micelle&#x02013;Templated Gelation of Na	Scientific Reports	9/16/2019	FALSE				Definitely okay	
923	PMC9776474	36552849	Safety and Efficacy of Humanized Versus Murinized CD19 and CD22 CAR T-Cell Cocktail Therapy for Refractory/Relapsed B-Cell Lymphoma	Cells	12/16/2022	TRUE	Y	Y	N	Definitely okay	
924	PMC8963312	35356035	Tau and the fractionated default mode network in atypical Alzheimer&#x02019;s disease	Brain Communications	3/9/2022	FALSE				Definitely okay	
925	PMC7305389	32577436	Transformation of bone mineral morphology: From discrete marquise-shaped motifs to a continuous interwoven mesh	Bone Reports	5/19/2020	FALSE				Definitely okay	
926	PMC8717118	34964855	Comparison of Response to Definitive Radiotherapy for Localized Prostate Cancer in Black and White Men	JAMA Network Open	12/29/2021	FALSE				Gray-scale	
927	PMC7191729	32349699	Food insecurity and food pantry use among transgender and gender non-conforming people in the Southeast United States	BMC Public Health	4/29/2020	FALSE				Definitely okay	
928	PMC7782554	33397980	Order and stochasticity in the folding of individual genomes	Nature Communications	1/4/2021	FALSE				Definitely okay	
929	PMC5955556	29768465	Stopping the effective non-fluoroquinolone antibiotics at day 7 vs continuing until day 14 in adults with acute pyelonephritis requiring hospitalization: A randomized non-inferiority trial	PLoS ONE	5/16/2018	FALSE				Gray-scale	
930	PMC6675104	31369628	Using diphenyleneiodonium to induce a viable but non-culturable phenotype in and its metabolomics analysis	PLoS ONE	8/1/2019	FALSE				Gray-scale	
931	PMC6286614	30526483	Cloning and characterization of norbelladine synthase catalyzing the first committed reaction in Amaryllidaceae alkaloid biosynthesis	BMC Plant Biology	12/7/2018	FALSE				Gray-scale	
932	PMC9643839	36388493	Greening or browning? The macro variation and drivers of different vegetation types on the Qinghai-Tibetan Plateau from 2000 to 2021	Frontiers in Plant Science	10/26/2022	TRUE	Y	N	N	Probably okay	In Figure A, the orange and light green might not have enough contrast.
933	PMC4406365	25909039	Natural variation in teosinte at the domestication locus )	PeerJ	4/16/2015	FALSE				Definitely okay	
934	PMC5642581	29050306	The hyaluronan-mediated motility receptor RHAMM promotes growth, invasiveness and dissemination of colorectal cancer	Oncotarget	8/3/2017	FALSE				Gray-scale	
935	PMC9517294	36141979	Hazard Classification and Stability Analysis of High and Steep Slopes from Underground to Open-Pit Mining	International Journal of Environmental Research and Public Health	9/16/2022	FALSE				Definitely okay	
936	PMC9410218	36013620	Laser Ablation on Isostatic Graphite&#x02014;A New Way to Create Exfoliated Graphite	Materials	8/9/2022	FALSE				Gray-scale	
937	PMC3544900	23341970	Wnt5a Does Not Support Hematopoiesis in Stroma-Free, Serum-Free Cultures	PLoS ONE	1/14/2013	FALSE				Gray-scale	
938	PMC9486097	36147344	Literature review of the clinical characteristics of metformin-induced hepatotoxicity	Frontiers in Pharmacology	9/6/2022	FALSE				Definitely okay	
939	PMC8283561	34264329	Association of Remdesivir Treatment With Survival and Length of Hospital Stay Among US Veterans Hospitalized With COVID-19	JAMA Network Open	7/15/2021	FALSE				Definitely okay	
940	PMC7297823	32333046	Immune landscape and a novel immunotherapy-related gene signature associated with clinical outcome in early-stage lung adenocarcinoma	Journal of Molecular Medicine (Berlin, Germany)	4/25/2020	TRUE	Y	N	N	Definitely okay	
941	PMC3873392	24386285	Optic Nerve Diffusion Tensor Imaging after Acute Optic Neuritis Predicts Axonal and Visual Outcomes	PLoS ONE	12/26/2013	FALSE				Gray-scale	
942	PMC9517892	36078648	Psychological and Biochemical Effects of an Online Pilates Intervention in Pregnant Women during COVID-19: A Randomized Pilot Study	International Journal of Environmental Research and Public Health	9/1/2022	FALSE				Gray-scale	
943	PMC3885603	24416277	New Phenotypic Assay for Epilepsy: Fluorescent Measurement of Synchronized Neuronal Calcium Oscillations	PLoS ONE	1/8/2014	FALSE				Definitely okay	
944	PMC8074493	33902622	Phase angle and Mediterranean diet in patients with acne: Two easy tools for assessing the clinical severity of disease	Journal of Translational Medicine	4/26/2021	FALSE				Gray-scale	
945	PMC5499090	28717325	Tetracycline resistance phenotypes and genotypes of coagulase-negative staphylococcal isolates from bubaline mastitis in Egypt	Veterinary World	6/25/2017	FALSE				Gray-scale	
946	PMC5817263	29507582	Differential Effects of Three Techniques for Hepatic Vascular Exclusion during Resection for Liver Cirrhosis on Hepatic Ischemia-Reperfusion Injury in Rats	Gastroenterology Research and Practice	1/8/2018	FALSE				Gray-scale	
947	PMC8000925	33806370	Flavor Changes of Singer under Different Processing Conditions by Using HS-GC-IMS	Foods	3/4/2021	TRUE	Y	N	N	Definitely okay	
948	PMC6141774	30093555	Gli3 controls the onset of cortical neurogenesis by regulating the radial glial cell cycle through expression	Development (Cambridge, England)	9/1/2018	TRUE	NA	NA	Y	Definitely okay	
949	PMC5582176	28878555	Organic molecule fluorescence as an experimental test-bed for quantum jumps in thermodynamics	Proceedings. Mathematical, Physical, and Engineering Sciences	8/30/2017	FALSE				Definitely okay	
950	PMC5363791	28451115	Stretchable supramolecular hydrogels with triple shape memory effect	Chemical Science	11/1/2016	TRUE	Y	N	N	Definitely okay	Can't see much green in the original.
951	PMC9598740	36285919	Preventive Effects of a Single Bout of Exercise on Memory and Attention following One Night of Sleep Loss in Sports Students: Results of a Randomized Controlled Study	Behavioral Sciences	9/21/2022	FALSE				Definitely okay	
952	PMC3548335	23346549	Warburg effect and translocation-induced genomic instability: two yeast models for cancer cells	Frontiers in Oncology	1/18/2013	FALSE				Definitely okay	
953	PMC4647037	26628852	Comparison of Effectiveness of Manual Orthodontic, Powered and Sonic Toothbrushes on Oral Hygiene of Fixed Orthodontic Patients	International Journal of Clinical Pediatric Dentistry	9/11/2015	FALSE				Definitely okay	
954	PMC6063449	30052661	Effect of sodium 4-phenylbutyrate on Clenbuterol-mediated muscle growth	PLoS ONE	7/27/2018	FALSE				Gray-scale	
955	PMC8521310	34703599	Why does a natural myringostapediopexy cause minimal hearing loss?	Clinical Case Reports	10/18/2021	FALSE				Definitely okay	
956	PMC5983770	29783777	Preferential Inhibition of Wnt/&#x003b2;-Catenin Signaling by Novel Benzimidazole Compounds in Triple-Negative Breast Cancer	International Journal of Molecular Sciences	5/20/2018	FALSE				Definitely okay	
957	PMC5439024	28385352	Neurokinin 3 receptor antagonism as a novel treatment for menopausal hot flushes: a phase 2, randomised, double-blind, placebo-controlled trial	Lancet (London, England)	5/6/2017	FALSE				Gray-scale	
958	PMC7914436	33557312	Biological Safety Evaluation and Surface Modification of Biocompatible Ti&#x02013;15Zr&#x02013;4Nb Alloy	Materials	2/4/2021	FALSE				Gray-scale	
959	PMC9875920	36317718	Evaluating the reliability, validity, and utility of overlapping networks: Implications for network theories of cognition	Human Brain Mapping	11/1/2022	TRUE	NA	NA	Y	Definitely okay	
960	PMC8891012	35197630	Effective drug combinations in breast, colon and pancreatic cancer cells	Nature	2/23/2022	TRUE	N	N	N	Definitely problematic	
961	PMC5836110	29343515	Discovery of genes required for lipoteichoic acid glycosylation predicts two distinct mechanisms for wall teichoic acid glycosylation	The Journal of Biological Chemistry	3/2/2018	FALSE				Gray-scale	
962	PMC9471859	36119090	Inflammatory perturbations in early life long-lastingly shape the transcriptome and TCR repertoire of the first wave of regulatory T cells	Frontiers in Immunology	8/31/2022	FALSE				Definitely okay	
963	PMC8157599	34069918	The Effect of Job Insecurity and Life Uncertainty on Everyday Consumptions and Broader Life Projects during COVID-19 Pandemic	International Journal of Environmental Research and Public Health	5/18/2021	FALSE				Gray-scale	
964	PMC9485232	36123379	An affordable and easy-to-use tool for automatic fish length and weight estimation in mariculture	Scientific Reports	9/19/2022	FALSE				Definitely okay	
965	PMC7261479	32523803	Farming by soil in Europe: status and outlook of cropping systems under different pedoclimatic conditions	PeerJ	5/28/2020	TRUE	N	N	N	Definitely problematic	
966	PMC8004989	33806798	Secular Trends of Underweight, Overweight, and Obesity in Children and Adolescents from Ukraine	International Journal of Environmental Research and Public Health	3/23/2021	FALSE				Definitely okay	
967	PMC6408460	30850620	Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection	Scientific Reports	3/8/2019	FALSE				Gray-scale	
968	PMC6716660	31469887	Artificial plateau construction during the Preclassic period at the Maya site of Ceibal, Guatemala	PLoS ONE	8/30/2019	FALSE				Definitely okay	
969	PMC8252797	34222007	LncRNA HCP5 : A Potential Biomarker for Diagnosing Gastric Cancer	Frontiers in Oncology	6/18/2021	FALSE				Gray-scale	
970	PMC7599410	33144854	Effects of Transcutaneous Auricular Vagus Nerve Stimulation on Peripheral and Central Tumor Necrosis Factor Alpha in Rats with Depression-Chronic Somatic Pain Comorbidity	Neural Plasticity	10/21/2020	FALSE				Definitely okay	
971	PMC6165578	30235803	Robust Step Counting for Inertial Navigation with Mobile Phones	Sensors (Basel, Switzerland)	9/19/2018	TRUE	Y	N	Y	Definitely okay	
972	PMC7215950	32340361	Analysis of the Healthcare MERS-CoV Outbreak in King Abdulaziz Medical Center, Riyadh, Saudi Arabia, June&#x02013;August 2015 Using a SEIR Ward Transmission Model	International Journal of Environmental Research and Public Health	4/23/2020	TRUE	Y	Y	Y	Definitely okay	
973	PMC7907448	33644072	RAMP2-AS1 Regulates Endothelial Homeostasis and Aging	Frontiers in Cell and Developmental Biology	2/12/2021	TRUE	Y	N	Y	Definitely okay	
974	PMC4287561	25287152	Models for Access to Maternal Smoking cessation Support (MAMSS): a study protocol of a quasi-experiment to increase the engagement of pregnant women who smoke in NHS Stop Smoking Services	BMC Public Health	10/6/2014	FALSE				Definitely okay	
975	PMC8922008	32845969	How Does Blood-Retinal Barrier Breakdown Relate to Death and Disability in Pediatric Cerebral Malaria?	The Journal of Infectious Diseases	8/26/2020	FALSE				Gray-scale	
976	PMC6138329	30460095	Promoter DNA methylation contributes to human -defensin-1 deficiency in atopic dermatitis	Animal Cells and Systems	5/24/2018	FALSE				Gray-scale	
977	PMC7493973	32933499	The Sandwich principle: assessing the didactic effect in lectures on &#x0201c;cleft lips and palates&#x0201d;	BMC Medical Education	9/15/2020	FALSE				Gray-scale	
978	PMC5758538	29354595	Synergistic Rescue of Nonsense Mutant Tumor Suppressor p53 by Combination Treatment with Aminoglycosides and Mdm2 Inhibitors	Frontiers in Oncology	1/4/2018	FALSE				Definitely okay	
979	PMC8020932	33841823	A snapshot study of the microbial community dynamics in naturally fermented cow&#x02019;s milk	Food Science &#x00026; Nutrition	2/16/2021	TRUE	Y	N	N	Definitely okay	
980	PMC7264643	32219378	Task-Dependent Recruitment of Modality-Specific and Multimodal Regions during Conceptual Processing	Cerebral Cortex (New York, NY)	6/6/2020	FALSE				Definitely okay	
981	PMC9188005	35734331	A cross-sectional analysis of U=U as a potential educative Intervention to mitigate HIV stigma among youth living with HIV in South Africa	The Pan African Medical Journal	3/25/2022	FALSE				Definitely okay	
982	PMC8466315	34573003	Estrogen Receptor Beta (ER&#x003b2;) Maintains Mitochondrial Network Regulating Invasiveness in an Obesity-Related Inflammation Condition in Breast Cancer	Antioxidants	8/28/2021	FALSE				Gray-scale	
983	PMC7083763	32211607	Antioxidant mesoporous Ce-doped bioactive glass nanoparticles with anti-inflammatory and pro-osteogenic activities	Materials Today Bio	1/9/2020	TRUE	N	N	N	Definitely problematic	
984	PMC7230330	32244516	Domesticated Populations of Display Lipid Extracts with Lower Seasonal Shifts than Conspecifics from the Wild&#x02014;Relevance for Biotechnological Applications of this Green Seaweed	Marine Drugs	3/31/2020	FALSE				Definitely okay	
985	PMC5487458	28702005	Insights into a Novel Species from Wastewater and a Hospital Source in Spain	Frontiers in Microbiology	6/28/2017	TRUE	Y	N	Y	Definitely okay	
986	PMC7070533	32102385	Detection of Pseudorabies Virus in Wild Boar Foetus	Animals : an Open Access Journal from MDPI	2/24/2020	FALSE				Gray-scale	
987	PMC6364291	30746150	Faecal glucocorticoid metabolite profiles in diademed sifakas increase during seasonal fruit scarcity with interactive effects of age/sex class and habitat degradation	Conservation Physiology	2/6/2019	FALSE				Definitely okay	
988	PMC4687045	26690845	Natural History of Non-Small-Cell Lung Cancer with Bone Metastases	Scientific Reports	12/22/2015	FALSE				Definitely okay	
989	PMC8622152	34821756	Expression Profile and Ligand Screening of a Putative Odorant-Binding Protein, AcerOBP6, from the Asian Honeybee	Insects	10/20/2021	FALSE				Gray-scale	
990	PMC6429289	30930824	Facing Anxiety, Growing Up. Trait Emotional Intelligence as a Mediator of the Relationship Between Self-Esteem and University Anxiety	Frontiers in Psychology	3/15/2019	FALSE				Gray-scale	
991	PMC5581121	28881822	An epigenetic signature of adhesion molecules predicts poor prognosis of ovarian cancer patients	Oncotarget	6/16/2017	TRUE	Y	N	Y	Definitely okay	
992	PMC4593944	26500587	The effect of magnocellular-based visual-motor intervention on Chinese children with developmental dyslexia	Frontiers in Psychology	10/6/2015	FALSE				Gray-scale	
993	PMC8001673	33799333	Beneficial Immunomodulatory Effects of Fluticasone Propionate in -Infected Mice	Pathogens	3/14/2021	FALSE				Gray-scale	
994	PMC5297740	28067818	The Diagnostic Usefulness of Serum Total Bile Acid Concentrations in the Early Phase of Acute Pancreatitis of Varied Etiologies	International Journal of Molecular Sciences	1/6/2017	FALSE				Gray-scale	
995	PMC6412905	30699973	Vitamin D Status and Association of Genetic Polymorphism to Risk of Breast Cancer in Ethiopia	Nutrients	1/29/2019	FALSE				Definitely okay	
996	PMC7401445	32191288	Expression and Localization of in the Vertebrate Retina	Investigative Ophthalmology &#x00026; Visual Science	3/19/2020	TRUE	Y	Y	Y	Definitely okay	
997	PMC6811565	31645614	Multi-tissue network analysis for drug prioritization in knee osteoarthritis	Scientific Reports	10/23/2019	TRUE	NA	NA	Y	Definitely okay	
998	PMC6100711	30151198	Differential post-fledging habitat use of Nearctic-Neotropical migratory birds within an urbanized landscape	Movement Ecology	8/20/2018	TRUE	N	N	N	Definitely problematic	Multiple shades of red and green. Still hard to read in the original image
999	PMC7531827	33007012	Assessment of bioclimatic change in Kazakhstan, end 20th&#x02014;middle 21st centuries, according to the PRECIS prediction	PLoS ONE	10/2/2020	TRUE	Y	N	N	Definitely okay	
1000	PMC6104919	30133454	Comparison of the flexible parametric survival model and Cox model in estimating Markov transition probabilities using real-world data	PLoS ONE	8/22/2018	FALSE				Gray-scale	
1001	PMC7178472	32351557	Ultrasound Real-Time Tissue Elastography Improves the Diagnostic Performance of the ACR Thyroid Imaging Reporting and Data System in Differentiating Malignant from Benign Thyroid Nodules: A Summary of 1525 Thyroid Nodules	International Journal of Endocrinology	4/14/2020	TRUE	N	N	N	Definitely problematic	
1002	PMC9750563	36626521	Condyloma acuminatum mimicking cervical cancer in a pregnant woman and treatment with cryotherapy: A case report	Medicine	12/9/2022	FALSE				Definitely okay	
1003	PMC5438350	28526854	Induction of senescence in primary glioblastoma cells by serum and TGF&#x003b2;	Scientific Reports	5/19/2017	FALSE				Gray-scale	
1004	PMC9441915	36071978	HupB, a nucleoid-associated protein, is critical for survival of under host-mediated stresses and for enhanced tolerance to key first-line antibiotics	Frontiers in Microbiology	8/22/2022	TRUE	Y	N	Y	Definitely okay	
1005	PMC8278688	34256782	Complete response to neoadjuvant chemoradiotherapy in rectal cancer is associated with RAS/AKT mutations and high tumour mutational burden	Radiation Oncology (London, England)	7/13/2021	FALSE				Definitely okay	
1006	PMC5143686	27999789	Marginal Bone Level Evaluation after Functional Loading Around Two Different Dental Implant Designs	BioMed Research International	11/24/2016	FALSE				Gray-scale	
1007	PMC7238017	32283610	Grain Yields and Nitrogen Use Efficiencies in Different Types of Stay-Green Maize in Response to Nitrogen Fertilizer	Plants	4/9/2020	TRUE	Y	Y	N	Definitely okay	
1008	PMC7923052	33670746	Bioconjugation of a PNA Probe to Zinc Oxide Nanowires for Label-Free Sensing	Nanomaterials	2/18/2021	FALSE				Definitely okay	
1009	PMC8778189	35056780	Insulin Complexation with Cyclodextrins&#x02014;A Molecular Modeling Approach	Molecules	1/11/2022	TRUE	Y	N	N	Definitely okay	
1010	PMC9264562	35799126	HCV spread among female incarcerated population and treatment pathways to viral elimination in Italian prison settings: clinical perspectives and medico legal aspects	BMC Infectious Diseases	7/7/2022	FALSE				Gray-scale	
1011	PMC6454056	31001272	NF-&#x003ba;B Signaling and IL-4 Signaling Regulate SATB1 Expression via Alternative Promoter Usage During Th2 Differentiation	Frontiers in Immunology	4/2/2019	TRUE	Y	N	Y	Definitely okay	
1012	PMC4724077	26807261	Risk factors and clinical outcomes of arrhythmias in the medical intensive care unit	Journal of Intensive Care	1/22/2016	TRUE	Y	N	N	Definitely okay	
1013	PMC8703308	34947276	Antimicrobial Activity of 3D-Printed Acrylonitrile Butadiene Styrene (ABS) Polymer-Coated with Silver Nanoparticles	Materials	12/13/2021	FALSE				Gray-scale	
1014	PMC6316806	30477132	Tracking Lysosome Migration within Chinese Hamster Ovary (CHO) Cells Following Exposure to Nanosecond Pulsed Electric Fields	Bioengineering	11/23/2018	FALSE				Gray-scale	
1015	PMC6874963	31781349	Remote Ischemic Preconditioning Protects Cisplatin-Induced Acute Kidney Injury through the PTEN/AKT Signaling Pathway	Oxidative Medicine and Cellular Longevity	11/3/2019	TRUE	Y	NA	N	Definitely okay	
1016	PMC8876596	35208699	Probiotic Effects of a Marine Purple Non-Sulfur Bacterium, )	Microorganisms	1/22/2022	FALSE				Definitely okay	
1017	PMC5506059	28698619	On the stochastic phase stability of TiAlC	Scientific Reports	7/11/2017	FALSE				Definitely okay	
1018	PMC5579615	28758964	Effects of Popular Diets without Specific Calorie Targets on Weight Loss Outcomes: Systematic Review of Findings from Clinical Trials	Nutrients	7/31/2017	FALSE				Gray-scale	
1019	PMC4658539	26602173	A new animal model of placebo analgesia: involvement of the dopaminergic system in reward learning	Scientific Reports	11/25/2015	FALSE				Definitely okay	
1020	PMC6894756	31805093	Towards text mining therapeutic change: A systematic review of text-based methods for Therapeutic Change Process Research	PLoS ONE	12/5/2019	FALSE				Gray-scale	
1021	PMC9815114	36620218	Detection of ryanodine receptor G4911E and I4754M mutation sites and analysis of binding modes of diamide insecticides with RyR on (Coleoptera: Chrysomelidae)	Frontiers in Physiology	12/22/2022	FALSE				Definitely okay	
1022	PMC4812270	27069682	Predictors of Postoperative Seizure Recurrence: A Longitudinal Study of Temporal and Extratemporal Resections	Epilepsy Research and Treatment	3/16/2016	FALSE				Gray-scale	
1023	PMC9435436	36059607	The diagnostic value of a nomogram based on multimodal ultrasonography for thyroid-nodule differentiation: A multicenter study	Frontiers in Oncology	8/18/2022	FALSE				Definitely okay	
1024	PMC8301829	34356627	The Influence of Bloom Index, Endotoxin Levels and Polyethylene Glycol Succinimidyl Glutarate Crosslinking on the Physicochemical and Biological Properties of Gelatin Biomaterials	Biomolecules	7/9/2021	TRUE	N	N	N	Definitely problematic	
1025	PMC9518512	36078276	Effects of a Dog-Assisted Social- and Emotional-Competence Training for Prisoners: A Controlled Study	International Journal of Environmental Research and Public Health	8/24/2022	FALSE				Gray-scale	
1026	PMC3995322	24636198	Antioxidant and anti-nociceptive effects of on improving exercise recovery in sedentary men: a randomized crossover (double-blind) design	Journal of the International Society of Sports Nutrition	3/17/2014	FALSE				Gray-scale	
1027	PMC9553683	36248053	Analysis of Specific Perfluorohexane Sulfonate Isomers by Liquid Chromatography-Tandem Mass Spectrometry: Method Development and Application in Source Apportionment	Journal of Analytical Methods in Chemistry	9/22/2022	FALSE				Definitely okay	
1028	PMC9288162	35855898	Oxygen uptake efficiency slope in healthy normal weight young males: an applicable framework for calculation and interpretation	PeerJ	7/13/2022	FALSE				Gray-scale	
1029	PMC6109330	30159003	Evaluation of sample preparation methods for mass spectrometry-based proteomic analysis of barley leaves	Plant Methods	8/25/2018	FALSE				Gray-scale	
1030	PMC7142961	32155983	Effect of Thermal Drying and Chemical Treatments with Wastes on Microbiological Contamination Indicators in Sewage Sludge	Microorganisms	3/7/2020	TRUE	NA	NA	Y	Definitely okay	
1031	PMC5995403	29889869	The clinical impact of supraclavicular lymph node metastasis in patients with locally advanced esophageal squamous cell carcinoma receiving curative concurrent chemoradiotherapy	PLoS ONE	6/11/2018	FALSE				Gray-scale	
1032	PMC7584104	33097005	Drought-hardening improves drought tolerance in at physiological, biochemical, and molecular levels	BMC Plant Biology	10/23/2020	TRUE	Y	N	N	Definitely okay	
1033	PMC9731562	36514756	The effects of biogenic amines in Chinese Huangjiu on the behavior of mice and hangover headache&#x02010;related indices	Food Science &#x00026; Nutrition	8/17/2022	FALSE				Gray-scale	
1034	PMC6630734	31159494	Modification of NFA-Conjugated Bridges with Symmetric Structures for High-Efficiency Non-Fullerene PSCs	Polymers	6/2/2019	TRUE	Y	N	N	Definitely okay	
1035	PMC7203580	32318929	Chasing a ghost: notes on the present distribution and conservation of the sooty mangabey () in Guinea-Bissau, West Africa	Primates; Journal of Primatology	4/21/2020	TRUE	Y	N	N	Definitely okay	
1036	PMC8113439	33976144	Overcoming false-positive gene-category enrichment in the analysis of spatially resolved transcriptomic brain atlas data	Nature Communications	5/11/2021	TRUE	Y	Y	Y	Definitely okay	
1037	PMC8355145	34376654	Zn-N sites on N-doped carbon for aerobic oxidative cleavage and esterification of C(CO)-C bonds	Nature Communications	8/10/2021	FALSE				Gray-scale	
1038	PMC3984432	24708714	Video image-based analysis of single human induced pluripotent stem cell derived cardiomyocyte beating dynamics using digital image correlation	BioMedical Engineering OnLine	4/7/2014	FALSE				Gray-scale	
1039	PMC6082564	30089137	Phylogeography of the gall-inducing micromoth Br&#x000e8;thes (Cecidosidae) reveals lineage diversification associated with the Neotropical Peripampasic Orogenic Arc	PLoS ONE	8/8/2018	TRUE	Y	Y	Y	Definitely okay	
1040	PMC4372782	25834592	Apical Sealing Ability of Bioceramic Paste and Mineral Trioxide Aggregate Retrofillings: A Dye Leakage Study	Iranian Endodontic Journal	3/18/2015	FALSE				Definitely okay	
1041	PMC9287758	35977218	Evaluation of Prior Authorization in Medicare Nonemergent Ambulance Transport	JAMA Health Forum	7/15/2022	FALSE				Definitely okay	
1042	PMC4881510	27164093	12-Lipoxygenase Inhibition on Microalbuminuria in Type-1 and Type-2 Diabetes Is Associated with Changes of Glomerular Angiotensin II Type 1 Receptor Related to Insulin Resistance	International Journal of Molecular Sciences	5/6/2016	FALSE				Definitely okay	
1043	PMC8253745	34215780	Stabilization demands of walking modulate the vestibular contributions to gait	Scientific Reports	7/2/2021	TRUE	Y	N	N	Definitely okay	
1044	PMC7708132	33256642	Epistemonikos: a comprehensive database of systematic reviews for health decision-making	BMC Medical Research Methodology	11/30/2020	FALSE				Definitely okay	
1045	PMC7600284	33020418	Identifying Downregulation of Autophagy Markers in Kawasaki Disease	Children	10/4/2020	FALSE				Gray-scale	
1046	PMC7697798	33198215	Relationship between Dietary Habits, Food Attitudes and Food Security Status among Adults Living within the United States Three Months Post-Mandated Quarantine: A Cross-Sectional Study	Nutrients	11/12/2020	FALSE				Definitely okay	
1047	PMC6025326	29904009	An Electrochemical Study on the Copolymer Formed from Piperazine and Aniline Monomers	Materials	6/14/2018	FALSE				Gray-scale	
1048	PMC3612067	23555838	Age-Dependent Effects of Oral Infection with Dengue Virus on (Diptera: Culicidae) Feeding Behavior, Survival, Oviposition Success and Fecundity	PLoS ONE	3/29/2013	FALSE				Gray-scale	
1049	PMC5529386	28798769	Molecular Basis Underlying Leaf Variegation of a Moth Orchid Mutant ()	Frontiers in Plant Science	7/27/2017	FALSE				Definitely okay	
1050	PMC9559741	36248508	The effect of the online eye movement desensitization and reprocessing early intervention protocol (EMDR R-TEP) for the risk groups with post-traumatic stress symptoms during the COVID-19 pandemic	Frontiers in Psychology	9/29/2022	FALSE				Definitely okay	
